,DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ
2007-07-02,0.0,0.0,0.0,0.0,0.37742459991560556,0.0,0.0,0.6225754000843944,0.0,0.0
2007-07-03,0.0,0.0,0.0,0.0,0.37587769264795223,0.0,0.0,0.6241223073520478,0.0,0.0
2007-07-05,0.0,0.0,0.0,0.0,0.3748124845388694,0.0,0.0,0.6251875154611306,0.0,0.0
2007-07-06,0.0,0.0,0.0,0.0,0.37302984134132827,0.0,0.0,0.6269701586586718,0.0,0.0
2007-07-09,0.0,0.0,0.0,0.0,0.3736928850833599,0.0,0.0,0.6263071149166402,0.0,0.0
2007-07-10,0.0,0.0,0.0,0.0,0.3786600054805516,0.0,0.0,0.6213399945194484,0.0,0.0
2007-07-11,0.0,0.0,0.0,0.0,0.37618464091687187,0.0,0.0,0.623815359083128,0.0,0.0
2007-07-12,0.0,0.0,0.0,0.0,0.3718475473267707,0.0,0.0,0.6281524526732292,0.0,0.0
2007-07-13,0.0,0.0,0.0,0.0,0.37167502963160487,0.0,0.0,0.6283249703683952,0.0,0.0
2007-07-16,0.0,0.0,0.0,0.0,0.37263203330096456,0.0,0.0,0.6273679666990354,0.0,0.0
2007-07-17,0.0,0.0,0.0,0.0,0.37226062260894627,0.0,0.0,0.6277393773910538,0.0,0.0
2007-07-18,0.0,0.0,0.0,0.0,0.37352334187605224,0.0,0.0,0.6264766581239478,0.0,0.0
2007-07-19,0.0,0.0,0.0,0.0,0.37258775615974216,0.0,0.0,0.6274122438402578,0.0,0.0
2007-07-20,0.0,0.0,0.0,0.0,0.37612539555460345,0.0,0.0,0.6238746044453964,0.0,0.0
2007-07-23,0.0,0.0,0.0,0.0,0.37532184747083297,0.0,0.0,0.624678152529167,0.0,0.0
2007-07-24,0.0,0.0,0.0,0.0,0.38006845035215825,0.0,0.0,0.6199315496478417,0.0,0.0
2007-07-25,0.0,0.0,0.0,0.0,0.37990364490191625,0.0,0.0,0.6200963550980838,0.0,0.0
2007-07-26,0.0,0.0,0.0,0.0,0.3874450109614944,0.0,0.0,0.6125549890385056,0.0,0.0
2007-07-27,0.0,0.0,0.0,0.0,0.39263073798842,0.0,0.0,0.60736926201158,0.0,0.0
2007-07-30,0.0,0.0,0.0,0.0,0.3883295691161896,0.0,0.0,0.6116704308838103,0.0,0.0
2007-07-31,0.0,0.0,0.0,0.0,0.3920061135117727,0.0,0.0,0.6079938864882273,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.39018781085405446,0.0,0.0,0.6098121891459455,0.0,0.0
2007-08-02,0.0,0.0,0.0,0.0,0.3884696765895625,0.0,0.0,0.6115303234104376,0.0,0.0
2007-08-03,0.0,0.0,0.0,0.0,0.3962216343981791,0.0,0.0,0.6037783656018209,0.0,0.0
2007-08-06,0.0,0.0,0.0,0.0,0.39129885981522733,0.0,0.0,0.6087011401847727,0.0,0.0
2007-08-07,0.0,0.0,0.0,0.0,0.3887453189681381,0.0,0.0,0.6112546810318619,0.0,0.0
2007-08-08,0.0,0.0,0.0,0.0,0.38381555189693656,0.0,0.0,0.6161844481030635,0.0,0.0
2007-08-09,0.0,0.0,0.0,0.0,0.39229172152767694,0.0,0.0,0.6077082784723231,0.0,0.0
2007-08-10,0.0,0.0,0.0,0.0,0.39306124802940706,0.0,0.0,0.6069387519705929,0.0,0.0
2007-08-13,0.0,0.0,0.0,0.0,0.3925830872641252,0.0,0.0,0.6074169127358748,0.0,0.0
2007-08-14,0.0,0.0,0.0,0.0,0.39713416986793776,0.0,0.0,0.6028658301320623,0.0,0.0
2007-08-15,0.0,0.0,0.0,0.0,0.40089611599462727,0.0,0.0,0.5991038840053726,0.0,0.0
2007-08-16,0.0,0.0,0.0,0.0,0.40002636912470724,0.0,0.0,0.5999736308752929,0.0,0.0
2007-08-17,0.0,0.0,0.0,0.0,0.3958387776349471,0.0,0.0,0.6041612223650529,0.0,0.0
2007-08-20,0.0,0.0,0.0,0.0,0.396472439735236,0.0,0.0,0.603527560264764,0.0,0.0
2007-08-21,0.0,0.0,0.0,0.0,0.397026409809094,0.0,0.0,0.602973590190906,0.0,0.0
2007-08-22,0.0,0.0,0.0,0.0,0.3934331354725273,0.0,0.0,0.6065668645274727,0.0,0.0
2007-08-23,0.0,0.0,0.0,0.0,0.39373067533654876,0.0,0.0,0.6062693246634513,0.0,0.0
2007-08-24,0.0,0.0,0.0,0.0,0.39088937205879926,0.0,0.0,0.6091106279412007,0.0,0.0
